4, 6, 35, 15
4, 6, 35, 17
4, 6, 35, 20
4, 6, 40, 15
4, 6, 40, 17
4, 6, 40, 20
4, 6, 45, 15
4, 6, 45, 17
4, 6, 45, 20
4, 6, 50, 15
4, 6, 50, 17
4, 6, 50, 20
4, 7, 35, 15
4, 7, 35, 17
4, 7, 35, 20
4, 7, 40, 15
4, 7, 40, 17
4, 7, 40, 20
4, 7, 45, 15
4, 7, 45, 17
4, 7, 45, 20
4, 7, 50, 15
4, 7, 50, 17
4, 7, 50, 20
4, 8, 35, 15
4, 8, 35, 17
4, 8, 35, 20
4, 8, 40, 15
4, 8, 40, 17
4, 8, 40, 20
4, 8, 45, 15
4, 8, 45, 17
4, 8, 45, 20
4, 8, 50, 15
4, 8, 50, 17
4, 8, 50, 20
5, 6, 35, 15
5, 6, 35, 17
5, 6, 35, 20
5, 6, 40, 15
5, 6, 40, 17
5, 6, 40, 20
5, 6, 45, 15
5, 6, 45, 17
5, 6, 45, 20
5, 6, 50, 15
5, 6, 50, 17
5, 6, 50, 20
5, 7, 35, 15
5, 7, 35, 17
5, 7, 35, 20
5, 7, 40, 15
5, 7, 40, 17
5, 7, 40, 20
5, 7, 45, 15
5, 7, 45, 17
5, 7, 45, 20
5, 7, 50, 15
5, 7, 50, 17
5, 7, 50, 20
5, 8, 35, 15
5, 8, 35, 17
5, 8, 35, 20
5, 8, 40, 15
5, 8, 40, 17
5, 8, 40, 20
5, 8, 45, 15
5, 8, 45, 17
5, 8, 45, 20
5, 8, 50, 15
5, 8, 50, 17
5, 8, 50, 20
6, 6, 35, 15
6, 6, 35, 17
6, 6, 35, 20
6, 6, 40, 15
6, 6, 40, 17
6, 6, 40, 20
6, 6, 45, 15
6, 6, 45, 17
6, 6, 45, 20
6, 6, 50, 15
6, 6, 50, 17
6, 6, 50, 20
6, 7, 35, 15
6, 7, 35, 17
6, 7, 35, 20
6, 7, 40, 15
6, 7, 40, 17
6, 7, 40, 20
6, 7, 45, 15
6, 7, 45, 17
6, 7, 45, 20
6, 7, 50, 15
6, 7, 50, 17
6, 7, 50, 20
6, 8, 35, 15
6, 8, 35, 17
6, 8, 35, 20
6, 8, 40, 15
6, 8, 40, 17
6, 8, 40, 20
6, 8, 45, 15
6, 8, 45, 17
6, 8, 45, 20
6, 8, 50, 15
6, 8, 50, 17
6, 8, 50, 20
