75,85,80,80,159,159,154,159,315,315,314,316
75,85,80,80,159,159,144,159,315,315,314,316
75,85,80,80,149,159,154,159,305,315,314,316
75,85,70,80,159,159,144,159,315,315,314,316
75,85,80,70,159,159,154,149,315,315,304,316
75,75,80,80,149,159,154,149,315,315,304,316
65,85,80,80,159,149,154,149,305,305,314,316
75,75,70,80,159,159,154,149,305,315,314,306
75,85,80,80,159,159,154,159,315,315,314,316
65,75,80,70,159,149,154,149,305,315,314,306
65,75,70,80,149,149,154,149,305,305,314,316
65,75,80,70,159,149,154,149,305,315,304,306
65,75,70,90,149,149,164,149,305,325,304,306
65,75,70,70,149,149,144,149,305,305,304,306
85,85,90,90,169,159,154,169,325,325,324,326
85,85,80,90,169,159,154,169,315,325,314,316
75,85,90,80,159,159,164,199,315,315,324,316
75,85,90,80,159,159,164,159,315,325,314,316
85,85,80,90,159,159,154,159,315,315,314,316
75,85,80,80,159,169,154,159,325,315,314,316
